Id,Order,Family,Genus,Country,Locality,Bioregion,Type
Echium vulgare (Harmignies),Boraginales,Boraginaceae,Echium,Belgium,Harmignies,Atlantic,Plant
Clematis vitalba (Harmignies),Ranunculales,Ranunculaceae,Clematis,Belgium,Harmignies,Atlantic,Plant
Origanum vulgare (Harmignies),Lamiales,Lamiaceae,Origanum,Belgium,Harmignies,Atlantic,Plant
Reseda lutea (Harmignies),Brassicales,Resedaceae,Reseda,Belgium,Harmignies,Atlantic,Plant
Scrophularia nodosa (Harmignies),Lamiales,Scrophulariaceae,Scrophularia,Belgium,Harmignies,Atlantic,Plant
Carlina vulgaris (Harmignies),Asterales,Asteraceae,Carlina,Belgium,Harmignies,Atlantic,Plant
Centaurea jacea (Harmignies),Asterales,Asteraceae,Centaurea,Belgium,Harmignies,Atlantic,Plant
Cirsium vulgare (Harmignies),Asterales,Asteraceae,Cirsium,Belgium,Harmignies,Atlantic,Plant
Pilosella officinarum (Harmignies),Asterales,Asteraceae,Pilosella,Belgium,Harmignies,Atlantic,Plant
Clinopodium vulgare (Harmignies),Lamiales,Lamiaceae,Clinopodium,Belgium,Harmignies,Atlantic,Plant
Glechoma hederacea (Harmignies),Lamiales,Lamiaceae,Glechoma,Belgium,Harmignies,Atlantic,Plant
Carduus crispus (Harmignies),Asterales,Asteraceae,Carduus,Belgium,Harmignies,Atlantic,Plant
Cichorium intybus (Hyon),Asterales,Asteraceae,Cichorium,Belgium,Hyon,Atlantic,Plant
Tanacetum vulgare (Hyon),Asterales,Asteraceae,Tanacetum,Belgium,Hyon,Atlantic,Plant
Cirsium vulgare (Hyon),Asterales,Asteraceae,Cirsium,Belgium,Hyon,Atlantic,Plant
Silene dioica (Hyon),Caryophyllales,Caryophyllaceae,Silene,Belgium,Hyon,Atlantic,Plant
Cirsium arvense (Hyon),Asterales,Asteraceae,Cirsium,Belgium,Hyon,Atlantic,Plant
Vicia cracca (Hyon),Fabales,Fabaceae,Vicia,Belgium,Hyon,Atlantic,Plant
Carduus crispus (Hyon),Asterales,Asteraceae,Carduus,Belgium,Hyon,Atlantic,Plant
Lotus corniculatus (Hyon),Fabales,Fabaceae,Lotus,Belgium,Hyon,Atlantic,Plant
Trifolium pratense (Hyon),Fabales,Fabaceae,Trifolium,Belgium,Hyon,Atlantic,Plant
Trifolium repens (Hyon),Fabales,Fabaceae,Trifolium,Belgium,Hyon,Atlantic,Plant
Scrophularia auriculata (Hyon),Lamiales,Scrophulariaceae,Scrophularia,Belgium,Hyon,Atlantic,Plant
Malva alcea (Hyon),Malvales,Malvaceae,Malva,Belgium,Hyon,Atlantic,Plant
Centaurea jacea (Hyon),Asterales,Asteraceae,Centaurea,Belgium,Hyon,Atlantic,Plant
Lotus pedunculatus (Hyon),Fabales,Fabaceae,Lotus,Belgium,Hyon,Atlantic,Plant
Leucanthemum vulgare (Hyon),Asterales,Asteraceae,Leucanthemum,Belgium,Hyon,Atlantic,Plant
Anthriscus sylvestris (Hyon),Apiales,Apiaceae,Anthriscus,Belgium,Hyon,Atlantic,Plant
Daucus carota (Hyon),Apiales,Apiaceae,Daucus,Belgium,Hyon,Atlantic,Plant
Melilotus officinalis (Hyon),Fabales,Fabaceae,Melilotus,Belgium,Hyon,Atlantic,Plant
Senecio inaequidens (Havr̩),Asterales,Asteraceae,Senecio,Belgium,Havr̩,Atlantic,Plant
Arctium tomentosum (Havr̩),Asterales,Asteraceae,Arctium,Belgium,Havr̩,Atlantic,Plant
Picris hieracioides (Havr̩),Asterales,Asteraceae,Picris,Belgium,Havr̩,Atlantic,Plant
Stachys palustris (Havr̩),Lamiales,Lamiaceae,Stachys,Belgium,Havr̩,Atlantic,Plant
Crepis capillaris (Havr̩),Asterales,Asteraceae,Crepis,Belgium,Havr̩,Atlantic,Plant
Lathyrus latifolius (Havr̩),Fabales,Fabaceae,Lathyrus,Belgium,Havr̩,Atlantic,Plant
Trifolium pratense (Havr̩),Fabales,Fabaceae,Trifolium,Belgium,Havr̩,Atlantic,Plant
