Id,Country,Locality,Bioregion,Latitude,Longitude,Type
Lamiales (Mons),Belgium,Mons,Atlantic,50.4219,3.901,Plant
Asterales (Mons),Belgium,Mons,Atlantic,50.4219,3.901,Plant
Boraginales (Hyon),Belgium,Hyon,Atlantic,50.433,3.98,Plant
Asterales (Hyon),Belgium,Hyon,Atlantic,50.433,3.98,Plant
Malpighiales (Hyon),Belgium,Hyon,Atlantic,50.433,3.98,Plant
Ranunculales (Hyon),Belgium,Hyon,Atlantic,50.433,3.98,Plant
Fabales (Hyon),Belgium,Hyon,Atlantic,50.433,3.98,Plant
Lamiales (Hyon),Belgium,Hyon,Atlantic,50.433,3.98,Plant
Asterales (Ecaussines),Belgium,Ecaussines,Atlantic,50.55572,4.14453,Plant
Fabales (Ecaussines),Belgium,Ecaussines,Atlantic,50.55572,4.14453,Plant
Cornales (Ecaussines),Belgium,Ecaussines,Atlantic,50.56047,4.14042,Plant
Rosales (Ecaussines),Belgium,Ecaussines,Atlantic,50.56047,4.14042,Plant
Asterales (Ecaussines),Belgium,Ecaussines,Atlantic,50.56047,4.14042,Plant
Boraginales (Ecaussines),Belgium,Ecaussines,Atlantic,50.56047,4.14042,Plant
Fabales (Ecaussines),Belgium,Ecaussines,Atlantic,50.56047,4.14042,Plant
Dipsacales (Ecaussines),Belgium,Ecaussines,Atlantic,50.56047,4.14042,Plant
Solanales (Mons),Belgium,Mons,Atlantic,50.4699,3.961,Plant
Asterales (Mons),Belgium,Mons,Atlantic,50.4699,3.961,Plant
Lamiales (Mons),Belgium,Mons,Atlantic,50.4699,3.961,Plant
Apiales (Mons),Belgium,Mons,Atlantic,50.4699,3.961,Plant
Fabales (Mons),Belgium,Mons,Atlantic,50.4699,3.961,Plant
Fabales (Obourg),Belgium,Obourg,Atlantic,50.472,4.0078,Plant
Dipsacales (Obourg),Belgium,Obourg,Atlantic,50.472,4.0078,Plant
Lamiales (Obourg),Belgium,Obourg,Atlantic,50.472,4.0078,Plant
Asterales (Obourg),Belgium,Obourg,Atlantic,50.472,4.0078,Plant
Asterales (Jemappes),Belgium,Jemappes,Atlantic,50.4558,3.8843,Plant
Rosales (Jemappes),Belgium,Jemappes,Atlantic,50.4558,3.8843,Plant
Apiales (Antoing),Belgium,Antoing,Atlantic,50.5813,3.4303,Plant
