Id,Country,Locality,Bioregion,Type
Adelidae (Horbylunde_2005),Denmark,Horbylunde_2005,Continental,Pollinator
Fanniidae (Horbylunde_2005),Denmark,Horbylunde_2005,Continental,Pollinator
Halictidae (Horbylunde_2005),Denmark,Horbylunde_2005,Continental,Pollinator
Oedemeridae (Horbylunde_2005),Denmark,Horbylunde_2005,Continental,Pollinator
Vespidae (Horbylunde_2005),Denmark,Horbylunde_2005,Continental,Pollinator
Andrenidae (Isen_Bjerg_2004),Denmark,Isen_Bjerg_2004,Atlantic,Pollinator
Apidae (Isen_Bjerg_2004),Denmark,Isen_Bjerg_2004,Atlantic,Pollinator
Calliphoridae (Isen_Bjerg_2004),Denmark,Isen_Bjerg_2004,Atlantic,Pollinator
Lauxaniidae (Isen_Bjerg_2004),Denmark,Isen_Bjerg_2004,Atlantic,Pollinator
Crabronidae (Isen_Bjerg_2004),Denmark,Isen_Bjerg_2004,Atlantic,Pollinator
Syrphidae (Isen_Bjerg_2004),Denmark,Isen_Bjerg_2004,Atlantic,Pollinator
Colletidae (Isen_Bjerg_2004),Denmark,Isen_Bjerg_2004,Atlantic,Pollinator
Conopidae (Isen_Bjerg_2004),Denmark,Isen_Bjerg_2004,Atlantic,Pollinator
Bibionidae (Isen_Bjerg_2004),Denmark,Isen_Bjerg_2004,Atlantic,Pollinator
Vespidae (Isen_Bjerg_2004),Denmark,Isen_Bjerg_2004,Atlantic,Pollinator
Tachinidae (Isen_Bjerg_2004),Denmark,Isen_Bjerg_2004,Atlantic,Pollinator
Chrysididae (Isen_Bjerg_2004),Denmark,Isen_Bjerg_2004,Atlantic,Pollinator
Muscidae (Isen_Bjerg_2004),Denmark,Isen_Bjerg_2004,Atlantic,Pollinator
Nymphalidae (Isen_Bjerg_2004),Denmark,Isen_Bjerg_2004,Atlantic,Pollinator
Cerambycidae (Isen_Bjerg_2004),Denmark,Isen_Bjerg_2004,Atlantic,Pollinator
Polleniidae (Isen_Bjerg_2004),Denmark,Isen_Bjerg_2004,Atlantic,Pollinator
Cantharidae (Isen_Bjerg_2004),Denmark,Isen_Bjerg_2004,Atlantic,Pollinator
Scathophagidae (Isen_Bjerg_2004),Denmark,Isen_Bjerg_2004,Atlantic,Pollinator
Sepsidae (Isen_Bjerg_2004),Denmark,Isen_Bjerg_2004,Atlantic,Pollinator
Noctuidae (Isen_Bjerg_2004),Denmark,Isen_Bjerg_2004,Atlantic,Pollinator
Halictidae (Isen_Bjerg_2004),Denmark,Isen_Bjerg_2004,Atlantic,Pollinator
Sphecidae (Isen_Bjerg_2004),Denmark,Isen_Bjerg_2004,Atlantic,Pollinator
Formicidae (Isen_Bjerg_2004),Denmark,Isen_Bjerg_2004,Atlantic,Pollinator
Elateridae (Isen_Bjerg_2004),Denmark,Isen_Bjerg_2004,Atlantic,Pollinator
Anthomyiidae (Isen_Bjerg_2004),Denmark,Isen_Bjerg_2004,Atlantic,Pollinator
Cephidae (Isen_Bjerg_2004),Denmark,Isen_Bjerg_2004,Atlantic,Pollinator
Pipunculidae (Isen_Bjerg_2004),Denmark,Isen_Bjerg_2004,Atlantic,Pollinator
Nitidulidae (Isen_Bjerg_2004),Denmark,Isen_Bjerg_2004,Atlantic,Pollinator
Micropterigidae (Isen_Bjerg_2004),Denmark,Isen_Bjerg_2004,Atlantic,Pollinator
Lycaenidae (Isen_Bjerg_2004),Denmark,Isen_Bjerg_2004,Atlantic,Pollinator
Scarabaeidae (Isen_Bjerg_2004),Denmark,Isen_Bjerg_2004,Atlantic,Pollinator
Argidae (Isen_Bjerg_2004),Denmark,Isen_Bjerg_2004,Atlantic,Pollinator
Nymphalidae (Isen_Bjerg_2005),Denmark,Isen_Bjerg_2005,Atlantic,Pollinator
Sphecidae (Isen_Bjerg_2005),Denmark,Isen_Bjerg_2005,Atlantic,Pollinator
Noctuidae (Isen_Bjerg_2005),Denmark,Isen_Bjerg_2005,Atlantic,Pollinator
Apidae (Isen_Bjerg_2005),Denmark,Isen_Bjerg_2005,Atlantic,Pollinator
Bibionidae (Isen_Bjerg_2005),Denmark,Isen_Bjerg_2005,Atlantic,Pollinator
Ectobiidae (Isen_Bjerg_2005),Denmark,Isen_Bjerg_2005,Atlantic,Pollinator
Syrphidae (Isen_Bjerg_2005),Denmark,Isen_Bjerg_2005,Atlantic,Pollinator
